Year,Month,Month_Number,Quarter,FFB_1000MT,EFB_1000MT,PKS_1000MT,POME_1000MT,Mesocarp_Fibre_1000MT,Avg_Temperature_C,Rainfall_mm,Humidity_pct,Wind_Speed_ms,Solar_Radiation_Wm2
1966,May,5,Q2,46.2,10.164,2.772,30.03,6.006,27.24,308.64,88.19,2,157.86
1966,Jun,6,Q2,39.6,8.712,2.376,25.74,5.148,26.24,362.56,90.14,1.89,147.34
1966,Jul,7,Q3,33,7.26,1.98,21.45,4.29,25.24,385.39,91.2,1.8,139.94
1966,Aug,8,Q3,29.7,6.534,1.782,19.305,3.861,25.23,297.57,91.16,1.69,141.43
1966,Sep,9,Q3,23.1,5.082,1.386,15.015,3.003,25.27,365.41,90.22,1.8,150
1966,Oct,10,Q4,19.8,4.356,1.188,12.87,2.574,26.3,309.74,89.29,1.91,160.64
1966,Nov,11,Q4,13.2,2.904,0.792,8.58,1.716,27.29,144.59,85.24,2,178.08
1966,Dec,12,Q4,13.2,2.904,0.792,8.58,1.716,27.29,42.13,82.3,2.01,185.82
1967,Jan,1,Q1,18.55,4.081,1.113,12.058,2.412,27.27,45.84,82.2,2,187.66
1967,Feb,2,Q1,22.26,4.897,1.336,14.469,2.894,28.28,67.6,81.26,2.11,192.43
1967,Mar,3,Q1,37.1,8.162,2.226,24.115,4.823,28.26,154.1,84.2,2.2,181.76
1967,Apr,4,Q2,48.23,10.611,2.894,31.35,6.27,28.22,221.79,87.13,2.09,167.18
1967,May,5,Q2,51.94,11.427,3.116,33.761,6.752,27.24,308.64,88.19,2,157.86
1967,Jun,6,Q2,44.52,9.794,2.671,28.938,5.788,26.24,362.56,90.14,1.89,147.34
1967,Jul,7,Q3,37.1,8.162,2.226,24.115,4.823,25.24,385.39,91.2,1.8,139.94
1967,Aug,8,Q3,33.39,7.346,2.003,21.704,4.341,25.23,297.57,91.16,1.69,141.43
1967,Sep,9,Q3,25.97,5.713,1.558,16.881,3.376,25.27,365.41,90.22,1.8,150
1967,Oct,10,Q4,22.26,4.897,1.336,14.469,2.894,26.3,309.74,89.29,1.91,160.64
1967,Nov,11,Q4,14.84,3.265,0.89,9.646,1.929,27.29,144.59,85.24,2,178.08
1967,Dec,12,Q4,14.84,3.265,0.89,9.646,1.929,27.29,42.13,82.3,2.01,185.82
1968,Jan,1,Q1,21.15,4.653,1.269,13.748,2.75,27.27,45.84,82.2,2,187.66
1968,Feb,2,Q1,25.38,5.584,1.523,16.497,3.299,28.28,67.6,81.26,2.11,192.43
1968,Mar,3,Q1,42.3,9.306,2.538,27.495,5.499,28.26,154.1,84.2,2.2,181.76
1968,Apr,4,Q2,54.99,12.098,3.299,35.744,7.149,28.22,221.79,87.13,2.09,167.18
1968,May,5,Q2,59.22,13.028,3.553,38.493,7.699,27.24,308.64,88.19,2,157.86
1968,Jun,6,Q2,50.76,11.167,3.046,32.994,6.599,26.24,362.56,90.14,1.89,147.34
1968,Jul,7,Q3,42.3,9.306,2.538,27.495,5.499,25.24,385.39,91.2,1.8,139.94
1968,Aug,8,Q3,38.07,8.375,2.284,24.745,4.949,25.23,297.57,91.16,1.69,141.43
1968,Sep,9,Q3,29.61,6.514,1.777,19.247,3.849,25.27,365.41,90.22,1.8,150
1968,Oct,10,Q4,25.38,5.584,1.523,16.497,3.299,26.3,309.74,89.29,1.91,160.64
1968,Nov,11,Q4,16.92,3.722,1.015,10.998,2.2,27.29,144.59,85.24,2,178.08
1968,Dec,12,Q4,16.92,3.722,1.015,10.998,2.2,27.29,42.13,82.3,2.01,185.82
1969,Jan,1,Q1,22.85,5.027,1.371,14.853,2.971,27.27,45.84,82.2,2,187.66
1969,Feb,2,Q1,27.42,6.032,1.645,17.823,3.565,28.28,67.6,81.26,2.11,192.43
1969,Mar,3,Q1,45.7,10.054,2.742,29.705,5.941,28.26,154.1,84.2,2.2,181.76
1969,Apr,4,Q2,59.41,13.07,3.565,38.617,7.723,28.22,221.79,87.13,2.09,167.18
1969,May,5,Q2,63.98,14.076,3.839,41.587,8.317,27.24,308.64,88.19,2,157.86
1969,Jun,6,Q2,54.84,12.065,3.29,35.646,7.129,26.24,362.56,90.14,1.89,147.34
1969,Jul,7,Q3,45.7,10.054,2.742,29.705,5.941,25.24,385.39,91.2,1.8,139.94
1969,Aug,8,Q3,41.13,9.049,2.468,26.734,5.347,25.23,297.57,91.16,1.69,141.43
1969,Sep,9,Q3,31.99,7.038,1.919,20.794,4.159,25.27,365.41,90.22,1.8,150
1969,Oct,10,Q4,27.42,6.032,1.645,17.823,3.565,26.3,309.74,89.29,1.91,160.64
1969,Nov,11,Q4,18.28,4.022,1.097,11.882,2.376,27.29,144.59,85.24,2,178.08
1969,Dec,12,Q4,18.28,4.022,1.097,11.882,2.376,27.29,42.13,82.3,2.01,185.82
1970,Jan,1,Q1,21.6,4.752,1.296,14.04,2.808,27.27,45.84,82.2,2,187.66
1970,Feb,2,Q1,25.92,5.702,1.555,16.848,3.37,28.28,67.6,81.26,2.11,192.43
1970,Mar,3,Q1,43.2,9.504,2.592,28.08,5.616,28.26,154.1,84.2,2.2,181.76
1970,Apr,4,Q2,56.16,12.355,3.37,36.504,7.301,28.22,221.79,87.13,2.09,167.18
1970,May,5,Q2,60.48,13.306,3.629,39.312,7.862,27.24,308.64,88.19,2,157.86
1970,Jun,6,Q2,51.84,11.405,3.11,33.696,6.739,26.24,362.56,90.14,1.89,147.34
1970,Jul,7,Q3,43.2,9.504,2.592,28.08,5.616,25.24,385.39,91.2,1.8,139.94
1970,Aug,8,Q3,38.88,8.554,2.333,25.272,5.054,25.23,297.57,91.16,1.69,141.43
1970,Sep,9,Q3,30.24,6.653,1.814,19.656,3.931,25.27,365.41,90.22,1.8,150
1970,Oct,10,Q4,25.92,5.702,1.555,16.848,3.37,26.3,309.74,89.29,1.91,160.64
1970,Nov,11,Q4,17.28,3.802,1.037,11.232,2.246,27.29,144.59,85.24,2,178.08
1970,Dec,12,Q4,17.28,3.802,1.037,11.232,2.246,27.29,42.13,82.3,2.01,185.82
1971,Jan,1,Q1,22.85,5.027,1.371,14.853,2.971,27.27,45.84,82.2,2,187.66
1971,Feb,2,Q1,27.42,6.032,1.645,17.823,3.565,28.28,67.6,81.26,2.11,192.43
1971,Mar,3,Q1,45.7,10.054,2.742,29.705,5.941,28.26,154.1,84.2,2.2,181.76
1971,Apr,4,Q2,59.41,13.07,3.565,38.617,7.723,28.22,221.79,87.13,2.09,167.18
1971,May,5,Q2,63.98,14.076,3.839,41.587,8.317,27.24,308.64,88.19,2,157.86
1971,Jun,6,Q2,54.84,12.065,3.29,35.646,7.129,26.24,362.56,90.14,1.89,147.34
1971,Jul,7,Q3,45.7,10.054,2.742,29.705,5.941,25.24,385.39,91.2,1.8,139.94
1971,Aug,8,Q3,41.13,9.049,2.468,26.734,5.347,25.23,297.57,91.16,1.69,141.43
1971,Sep,9,Q3,31.99,7.038,1.919,20.794,4.159,25.27,365.41,90.22,1.8,150
1971,Oct,10,Q4,27.42,6.032,1.645,17.823,3.565,26.3,309.74,89.29,1.91,160.64
1971,Nov,11,Q4,18.28,4.022,1.097,11.882,2.376,27.29,144.59,85.24,2,178.08
1971,Dec,12,Q4,18.28,4.022,1.097,11.882,2.376,27.29,42.13,82.3,2.01,185.82
1972,Jan,1,Q1,21.6,4.752,1.296,14.04,2.808,27.27,45.84,82.2,2,187.66
1972,Feb,2,Q1,25.92,5.702,1.555,16.848,3.37,28.28,67.6,81.26,2.11,192.43
1972,Mar,3,Q1,43.2,9.504,2.592,28.08,5.616,28.26,154.1,84.2,2.2,181.76
1972,Apr,4,Q2,56.16,12.355,3.37,36.504,7.301,28.22,221.79,87.13,2.09,167.18
1972,May,5,Q2,60.48,13.306,3.629,39.312,7.862,27.24,308.64,88.19,2,157.86
1972,Jun,6,Q2,51.84,11.405,3.11,33.696,6.739,26.24,362.56,90.14,1.89,147.34
1972,Jul,7,Q3,43.2,9.504,2.592,28.08,5.616,25.24,385.39,91.2,1.8,139.94
1972,Aug,8,Q3,38.88,8.554,2.333,25.272,5.054,25.23,297.57,91.16,1.69,141.43
1972,Sep,9,Q3,30.24,6.653,1.814,19.656,3.931,25.27,365.41,90.22,1.8,150
1972,Oct,10,Q4,25.92,5.702,1.555,16.848,3.37,26.3,309.74,89.29,1.91,160.64
1972,Nov,11,Q4,17.28,3.802,1.037,11.232,2.246,27.29,144.59,85.24,2,178.08
1972,Dec,12,Q4,17.28,3.802,1.037,11.232,2.246,27.29,42.13,82.3,2.01,185.82
1973,Jan,1,Q1,24.15,5.313,1.449,15.698,3.14,27.27,45.84,82.2,2,187.66
1973,Feb,2,Q1,28.98,6.376,1.739,18.837,3.767,28.28,67.6,81.26,2.11,192.43
1973,Mar,3,Q1,48.3,10.626,2.898,31.395,6.279,28.26,154.1,84.2,2.2,181.76
1973,Apr,4,Q2,62.79,13.814,3.767,40.813,8.163,28.22,221.79,87.13,2.09,167.18
1973,May,5,Q2,67.62,14.876,4.057,43.953,8.791,27.24,308.64,88.19,2,157.86
1973,Jun,6,Q2,57.96,12.751,3.478,37.674,7.535,26.24,362.56,90.14,1.89,147.34
1973,Jul,7,Q3,48.3,10.626,2.898,31.395,6.279,25.24,385.39,91.2,1.8,139.94
1973,Aug,8,Q3,43.47,9.563,2.608,28.256,5.651,25.23,297.57,91.16,1.69,141.43
1973,Sep,9,Q3,33.81,7.438,2.029,21.977,4.395,25.27,365.41,90.22,1.8,150
1973,Oct,10,Q4,28.98,6.376,1.739,18.837,3.767,26.3,309.74,89.29,1.91,160.64
1973,Nov,11,Q4,19.32,4.25,1.159,12.558,2.512,27.29,144.59,85.24,2,178.08
1973,Dec,12,Q4,19.32,4.25,1.159,12.558,2.512,27.29,42.13,82.3,2.01,185.82
1974,Jan,1,Q1,25,5.5,1.5,16.25,3.25,27.27,45.84,82.2,2,187.66
1974,Feb,2,Q1,30,6.6,1.8,19.5,3.9,28.28,67.6,81.26,2.11,192.43
1974,Mar,3,Q1,50,11,3,32.5,6.5,28.26,154.1,84.2,2.2,181.76
1974,Apr,4,Q2,65,14.3,3.9,42.25,8.45,28.22,221.79,87.13,2.09,167.18
1974,May,5,Q2,70,15.4,4.2,45.5,9.1,27.24,308.64,88.19,2,157.86
1974,Jun,6,Q2,60,13.2,3.6,39,7.8,26.24,362.56,90.14,1.89,147.34
1974,Jul,7,Q3,50,11,3,32.5,6.5,25.24,385.39,91.2,1.8,139.94
1974,Aug,8,Q3,45,9.9,2.7,29.25,5.85,25.23,297.57,91.16,1.69,141.43
1974,Sep,9,Q3,35,7.7,2.1,22.75,4.55,25.27,365.41,90.22,1.8,150
1974,Oct,10,Q4,30,6.6,1.8,19.5,3.9,26.3,309.74,89.29,1.91,160.64
1974,Nov,11,Q4,20,4.4,1.2,13,2.6,27.29,144.59,85.24,2,178.08
1974,Dec,12,Q4,20,4.4,1.2,13,2.6,27.29,42.13,82.3,2.01,185.82
1975,Jan,1,Q1,25.5,5.61,1.53,16.575,3.315,27.27,45.84,82.2,2,187.66
1975,Feb,2,Q1,30.6,6.732,1.836,19.89,3.978,28.28,67.6,81.26,2.11,192.43
1975,Mar,3,Q1,51,11.22,3.06,33.15,6.63,28.26,154.1,84.2,2.2,181.76
1975,Apr,4,Q2,66.3,14.586,3.978,43.095,8.619,28.22,221.79,87.13,2.09,167.18
1975,May,5,Q2,71.4,15.708,4.284,46.41,9.282,27.24,308.64,88.19,2,157.86
1975,Jun,6,Q2,61.2,13.464,3.672,39.78,7.956,26.24,362.56,90.14,1.89,147.34
1975,Jul,7,Q3,51,11.22,3.06,33.15,6.63,25.24,385.39,91.2,1.8,139.94
1975,Aug,8,Q3,45.9,10.098,2.754,29.835,5.967,25.23,297.57,91.16,1.69,141.43
1975,Sep,9,Q3,35.7,7.854,2.142,23.205,4.641,25.27,365.41,90.22,1.8,150
1975,Oct,10,Q4,30.6,6.732,1.836,19.89,3.978,26.3,309.74,89.29,1.91,160.64
1975,Nov,11,Q4,20.4,4.488,1.224,13.26,2.652,27.29,144.59,85.24,2,178.08
1975,Dec,12,Q4,20.4,4.488,1.224,13.26,2.652,27.29,42.13,82.3,2.01,185.82
1976,Jan,1,Q1,25.5,5.61,1.53,16.575,3.315,27.27,45.84,82.2,2,187.66
1976,Feb,2,Q1,30.6,6.732,1.836,19.89,3.978,28.28,67.6,81.26,2.11,192.43
1976,Mar,3,Q1,51,11.22,3.06,33.15,6.63,28.26,154.1,84.2,2.2,181.76
1976,Apr,4,Q2,66.3,14.586,3.978,43.095,8.619,28.22,221.79,87.13,2.09,167.18
1976,May,5,Q2,71.4,15.708,4.284,46.41,9.282,27.24,308.64,88.19,2,157.86
1976,Jun,6,Q2,61.2,13.464,3.672,39.78,7.956,26.24,362.56,90.14,1.89,147.34
1976,Jul,7,Q3,51,11.22,3.06,33.15,6.63,25.24,385.39,91.2,1.8,139.94
1976,Aug,8,Q3,45.9,10.098,2.754,29.835,5.967,25.23,297.57,91.16,1.69,141.43
1976,Sep,9,Q3,35.7,7.854,2.142,23.205,4.641,25.27,365.41,90.22,1.8,150
1976,Oct,10,Q4,30.6,6.732,1.836,19.89,3.978,26.3,309.74,89.29,1.91,160.64
1976,Nov,11,Q4,20.4,4.488,1.224,13.26,2.652,27.29,144.59,85.24,2,178.08
1976,Dec,12,Q4,20.4,4.488,1.224,13.26,2.652,27.29,42.13,82.3,2.01,185.82
1977,Jan,1,Q1,25.75,5.665,1.545,16.738,3.348,27.27,45.84,82.2,2,187.66
1977,Feb,2,Q1,30.9,6.798,1.854,20.085,4.017,28.28,67.6,81.26,2.11,192.43
1977,Mar,3,Q1,51.5,11.33,3.09,33.475,6.695,28.26,154.1,84.2,2.2,181.76
1977,Apr,4,Q2,66.95,14.729,4.017,43.518,8.704,28.22,221.79,87.13,2.09,167.18
1977,May,5,Q2,72.1,15.862,4.326,46.865,9.373,27.24,308.64,88.19,2,157.86
1977,Jun,6,Q2,61.8,13.596,3.708,40.17,8.034,26.24,362.56,90.14,1.89,147.34
1977,Jul,7,Q3,51.5,11.33,3.09,33.475,6.695,25.24,385.39,91.2,1.8,139.94
1977,Aug,8,Q3,46.35,10.197,2.781,30.128,6.026,25.23,297.57,91.16,1.69,141.43
1977,Sep,9,Q3,36.05,7.931,2.163,23.433,4.687,25.27,365.41,90.22,1.8,150
1977,Oct,10,Q4,30.9,6.798,1.854,20.085,4.017,26.3,309.74,89.29,1.91,160.64
1977,Nov,11,Q4,20.6,4.532,1.236,13.39,2.678,27.29,144.59,85.24,2,178.08
1977,Dec,12,Q4,20.6,4.532,1.236,13.39,2.678,27.29,42.13,82.3,2.01,185.82
1978,Jan,1,Q1,25,5.5,1.5,16.25,3.25,27.27,45.84,82.2,2,187.66
1978,Feb,2,Q1,30,6.6,1.8,19.5,3.9,28.28,67.6,81.26,2.11,192.43
1978,Mar,3,Q1,50,11,3,32.5,6.5,28.26,154.1,84.2,2.2,181.76
1978,Apr,4,Q2,65,14.3,3.9,42.25,8.45,28.22,221.79,87.13,2.09,167.18
1978,May,5,Q2,70,15.4,4.2,45.5,9.1,27.24,308.64,88.19,2,157.86
1978,Jun,6,Q2,60,13.2,3.6,39,7.8,26.24,362.56,90.14,1.89,147.34
1978,Jul,7,Q3,50,11,3,32.5,6.5,25.24,385.39,91.2,1.8,139.94
1978,Aug,8,Q3,45,9.9,2.7,29.25,5.85,25.23,297.57,91.16,1.69,141.43
1978,Sep,9,Q3,35,7.7,2.1,22.75,4.55,25.27,365.41,90.22,1.8,150
1978,Oct,10,Q4,30,6.6,1.8,19.5,3.9,26.3,309.74,89.29,1.91,160.64
1978,Nov,11,Q4,20,4.4,1.2,13,2.6,27.29,144.59,85.24,2,178.08
1978,Dec,12,Q4,20,4.4,1.2,13,2.6,27.29,42.13,82.3,2.01,185.82
1979,Jan,1,Q1,26,5.72,1.56,16.9,3.38,27.27,45.84,82.2,2,187.66
1979,Feb,2,Q1,31.2,6.864,1.872,20.28,4.056,28.28,67.6,81.26,2.11,192.43
1979,Mar,3,Q1,52,11.44,3.12,33.8,6.76,28.26,154.1,84.2,2.2,181.76
1979,Apr,4,Q2,67.6,14.872,4.056,43.94,8.788,28.22,221.79,87.13,2.09,167.18
1979,May,5,Q2,72.8,16.016,4.368,47.32,9.464,27.24,308.64,88.19,2,157.86
1979,Jun,6,Q2,62.4,13.728,3.744,40.56,8.112,26.24,362.56,90.14,1.89,147.34
1979,Jul,7,Q3,52,11.44,3.12,33.8,6.76,25.24,385.39,91.2,1.8,139.94
1979,Aug,8,Q3,46.8,10.296,2.808,30.42,6.084,25.23,297.57,91.16,1.69,141.43
1979,Sep,9,Q3,36.4,8.008,2.184,23.66,4.732,25.27,365.41,90.22,1.8,150
1979,Oct,10,Q4,31.2,6.864,1.872,20.28,4.056,26.3,309.74,89.29,1.91,160.64
1979,Nov,11,Q4,20.8,4.576,1.248,13.52,2.704,27.29,144.59,85.24,2,178.08
1979,Dec,12,Q4,20.8,4.576,1.248,13.52,2.704,27.29,42.13,82.3,2.01,185.82
1980,Jan,1,Q1,26,5.72,1.56,16.9,3.38,27.27,45.84,82.2,2,187.66
1980,Feb,2,Q1,31.2,6.864,1.872,20.28,4.056,28.28,67.6,81.26,2.11,192.43
1980,Mar,3,Q1,52,11.44,3.12,33.8,6.76,28.26,154.1,84.2,2.2,181.76
1980,Apr,4,Q2,67.6,14.872,4.056,43.94,8.788,28.22,221.79,87.13,2.09,167.18
1980,May,5,Q2,72.8,16.016,4.368,47.32,9.464,27.24,308.64,88.19,2,157.86
1980,Jun,6,Q2,62.4,13.728,3.744,40.56,8.112,26.24,362.56,90.14,1.89,147.34
1980,Jul,7,Q3,52,11.44,3.12,33.8,6.76,25.24,385.39,91.2,1.8,139.94
1980,Aug,8,Q3,46.8,10.296,2.808,30.42,6.084,25.23,297.57,91.16,1.69,141.43
1980,Sep,9,Q3,36.4,8.008,2.184,23.66,4.732,25.27,365.41,90.22,1.8,150
1980,Oct,10,Q4,31.2,6.864,1.872,20.28,4.056,26.3,309.74,89.29,1.91,160.64
1980,Nov,11,Q4,20.8,4.576,1.248,13.52,2.704,27.29,144.59,85.24,2,178.08
1980,Dec,12,Q4,20.8,4.576,1.248,13.52,2.704,27.29,42.13,82.3,2.01,185.82
1981,Jan,1,Q1,26.25,5.775,1.575,17.062,3.413,27.27,45.84,82.2,2,187.66
1981,Feb,2,Q1,31.5,6.93,1.89,20.475,4.095,28.28,67.6,81.26,2.11,192.43
1981,Mar,3,Q1,52.5,11.55,3.15,34.125,6.825,28.26,154.1,84.2,2.2,181.76
1981,Apr,4,Q2,68.25,15.015,4.095,44.363,8.873,28.22,221.79,87.13,2.09,167.18
1981,May,5,Q2,73.5,16.17,4.41,47.775,9.555,27.24,308.64,88.19,2,157.86
1981,Jun,6,Q2,63,13.86,3.78,40.95,8.19,26.24,362.56,90.14,1.89,147.34
1981,Jul,7,Q3,52.5,11.55,3.15,34.125,6.825,25.24,385.39,91.2,1.8,139.94
1981,Aug,8,Q3,47.25,10.395,2.835,30.713,6.143,25.23,297.57,91.16,1.69,141.43
1981,Sep,9,Q3,36.75,8.085,2.205,23.887,4.777,25.27,365.41,90.22,1.8,150
1981,Oct,10,Q4,31.5,6.93,1.89,20.475,4.095,26.3,309.74,89.29,1.91,160.64
1981,Nov,11,Q4,21,4.62,1.26,13.65,2.73,27.29,144.59,85.24,2,178.08
1981,Dec,12,Q4,21,4.62,1.26,13.65,2.73,27.29,42.13,82.3,2.01,185.82
1982,Jan,1,Q1,26.5,5.83,1.59,17.225,3.445,27.27,45.84,82.2,2,187.66
1982,Feb,2,Q1,31.8,6.996,1.908,20.67,4.134,28.28,67.6,81.26,2.11,192.43
1982,Mar,3,Q1,53,11.66,3.18,34.45,6.89,28.26,154.1,84.2,2.2,181.76
1982,Apr,4,Q2,68.9,15.158,4.134,44.785,8.957,28.22,221.79,87.13,2.09,167.18
1982,May,5,Q2,74.2,16.324,4.452,48.23,9.646,27.24,308.64,88.19,2,157.86
1982,Jun,6,Q2,63.6,13.992,3.816,41.34,8.268,26.24,362.56,90.14,1.89,147.34
1982,Jul,7,Q3,53,11.66,3.18,34.45,6.89,25.24,385.39,91.2,1.8,139.94
1982,Aug,8,Q3,47.7,10.494,2.862,31.005,6.201,25.23,297.57,91.16,1.69,141.43
1982,Sep,9,Q3,37.1,8.162,2.226,24.115,4.823,25.27,365.41,90.22,1.8,150
1982,Oct,10,Q4,31.8,6.996,1.908,20.67,4.134,26.3,309.74,89.29,1.91,160.64
1982,Nov,11,Q4,21.2,4.664,1.272,13.78,2.756,27.29,144.59,85.24,2,178.08
1982,Dec,12,Q4,21.2,4.664,1.272,13.78,2.756,27.29,42.13,82.3,2.01,185.82
1983,Jan,1,Q1,27,5.94,1.62,17.55,3.51,27.27,45.84,82.2,2,187.66
1983,Feb,2,Q1,32.4,7.128,1.944,21.06,4.212,28.28,67.6,81.26,2.11,192.43
1983,Mar,3,Q1,54,11.88,3.24,35.1,7.02,28.26,154.1,84.2,2.2,181.76
1983,Apr,4,Q2,70.2,15.444,4.212,45.63,9.126,28.22,221.79,87.13,2.09,167.18
1983,May,5,Q2,75.6,16.632,4.536,49.14,9.828,27.24,308.64,88.19,2,157.86
1983,Jun,6,Q2,64.8,14.256,3.888,42.12,8.424,26.24,362.56,90.14,1.89,147.34
1983,Jul,7,Q3,54,11.88,3.24,35.1,7.02,25.24,385.39,91.2,1.8,139.94
1983,Aug,8,Q3,48.6,10.692,2.916,31.59,6.318,25.23,297.57,91.16,1.69,141.43
1983,Sep,9,Q3,37.8,8.316,2.268,24.57,4.914,25.27,365.41,90.22,1.8,150
1983,Oct,10,Q4,32.4,7.128,1.944,21.06,4.212,26.3,309.74,89.29,1.91,160.64
1983,Nov,11,Q4,21.6,4.752,1.296,14.04,2.808,27.29,144.59,85.24,2,178.08
1983,Dec,12,Q4,21.6,4.752,1.296,14.04,2.808,27.29,42.13,82.3,2.01,185.82
1984,Jan,1,Q1,27.5,6.05,1.65,17.875,3.575,27.27,45.84,82.2,2,187.66
1984,Feb,2,Q1,33,7.26,1.98,21.45,4.29,28.28,67.6,81.26,2.11,192.43
1984,Mar,3,Q1,55,12.1,3.3,35.75,7.15,28.26,154.1,84.2,2.2,181.76
1984,Apr,4,Q2,71.5,15.73,4.29,46.475,9.295,28.22,221.79,87.13,2.09,167.18
1984,May,5,Q2,77,16.94,4.62,50.05,10.01,27.24,308.64,88.19,2,157.86
1984,Jun,6,Q2,66,14.52,3.96,42.9,8.58,26.24,362.56,90.14,1.89,147.34
1984,Jul,7,Q3,55,12.1,3.3,35.75,7.15,25.24,385.39,91.2,1.8,139.94
1984,Aug,8,Q3,49.5,10.89,2.97,32.175,6.435,25.23,297.57,91.16,1.69,141.43
1984,Sep,9,Q3,38.5,8.47,2.31,25.025,5.005,25.27,365.41,90.22,1.8,150
1984,Oct,10,Q4,33,7.26,1.98,21.45,4.29,26.3,309.74,89.29,1.91,160.64
1984,Nov,11,Q4,22,4.84,1.32,14.3,2.86,27.29,144.59,85.24,2,178.08
1984,Dec,12,Q4,22,4.84,1.32,14.3,2.86,27.29,42.13,82.3,2.01,185.82
1985,Jan,1,Q1,30,6.6,1.8,19.5,3.9,27.27,45.84,82.2,2,187.66
1985,Feb,2,Q1,36,7.92,2.16,23.4,4.68,28.28,67.6,81.26,2.11,192.43
1985,Mar,3,Q1,60,13.2,3.6,39,7.8,28.26,154.1,84.2,2.2,181.76
1985,Apr,4,Q2,78,17.16,4.68,50.7,10.14,28.22,221.79,87.13,2.09,167.18
1985,May,5,Q2,84,18.48,5.04,54.6,10.92,27.24,308.64,88.19,2,157.86
1985,Jun,6,Q2,72,15.84,4.32,46.8,9.36,26.24,362.56,90.14,1.89,147.34
1985,Jul,7,Q3,60,13.2,3.6,39,7.8,25.24,385.39,91.2,1.8,139.94
1985,Aug,8,Q3,54,11.88,3.24,35.1,7.02,25.23,297.57,91.16,1.69,141.43
1985,Sep,9,Q3,42,9.24,2.52,27.3,5.46,25.27,365.41,90.22,1.8,150
1985,Oct,10,Q4,36,7.92,2.16,23.4,4.68,26.3,309.74,89.29,1.91,160.64
1985,Nov,11,Q4,24,5.28,1.44,15.6,3.12,27.29,144.59,85.24,2,178.08
1985,Dec,12,Q4,24,5.28,1.44,15.6,3.12,27.29,42.13,82.3,2.01,185.82
1986,Jan,1,Q1,32.5,7.15,1.95,21.125,4.225,27.27,45.84,82.2,2,187.66
1986,Feb,2,Q1,39,8.58,2.34,25.35,5.07,28.28,67.6,81.26,2.11,192.43
